userid;FIPS_monthcount;N_of_FIPS_withMaxmonth;HomeLocList;homeLocDict;basic_maxmonths
0;6.0;1.0;['IN'];{'IN': 14};IN
1;7.0;1.0;['NL'];{'NL': 51};NL
2;10.0;1.0;['AS'];{'AS': 14};AS
3;11.0;1.0;['AS'];{'AS': 21};AS
4;7.0;1.0;['AS'];{'AS': 14};AS
5;14.0;1.0;['US'];{'US': 44};US
6;3.0;1.0;['US'];{'US': 6};US
7;33.0;1.0;['BR'];{'BR': 143};BR
8;13.0;1.0;['AE'];{'AE': 26};AE
9;36.0;1.0;['LA'];{'LA': 197};LA
10;30.0;1.0;['UK'];{'UK': 162};UK
11;31.0;1.0;['NI'];{'NI': 156};NI
12;22.0;1.0;['US'];{'US': 66};US
13;19.0;1.0;['SF'];{'SF': 40};SF
14;13.0;1.0;['SF'];{'SF': 36};SF
15;7.0;1.0;['SF'];{'SF': 15};SF
16;6.0;1.0;['SF'];{'SF': 24};SF
17;11.0;1.0;['SF'];{'SF': 45};SF
18;6.0;1.0;['SF'];{'SF': 20};SF
19;9.0;1.0;['SF'];{'SF': 29};SF
20;10.0;1.0;['SF'];{'SF': 16};SF
21;30.0;1.0;['SF'];{'SF': 297};SF
22;10.0;1.0;['SF'];{'SF': 17};SF
23;16.0;1.0;['SF'];{'SF': 42};SF
24;35.0;1.0;['US'];{'US': 418};US
25;11.0;1.0;['SF'];{'SF': 28};SF
26;26.0;1.0;['US'];{'US': 64};US
27;13.0;1.0;['SF'];{'SF': 46};SF
28;18.0;1.0;['US'];{'US': 30};US
29;8.0;2.0;['CH', 'HK'];{'CH': 10, 'HK': 15};HK
30;8.0;1.0;['SF'];{'SF': 24};SF
31;34.0;1.0;['TU'];{'TU': 204};TU
32;19.0;1.0;['US'];{'US': 28};US
33;23.0;1.0;['SF'];{'SF': 50};SF
34;26.0;1.0;['SF'];{'SF': 120};SF
