userid;AE;AL;AS;AU;BE;BF;BM;BR;CA;CB;CE;CH;CU;DA;DR;EI;EN;EZ;FR;GH;GM;GR;HK;HU;IC;ID;IN;IR;IS;IT;IZ;JA;JO;KE;KS;KU;LA;MO;MP;MT;MU;MV;MX;MY;MZ;NI;NL;NZ;PL;PO;PS;QA;RQ;RS;SA;SE;SF;SI;SP;SW;SZ;TB;TH;TK;TS;TU;TW;TZ;UK;US;UY;VI;VM;WA;ZA;ZI;MAXTimeDeltas;N_of_FIPS_withMaxTimeDelta;HomeLocList;userid;homeLocDict;basic_maxtimedelta
0;;;;20 days 13:19:51.000000000;;;;;;;;;;;;;;;19 days 05:52:30.000000000;;166 days 03:05:07.000000000;;;;;;1004 days 15:48:50.000000000;;;;;;;;;;;;;;;;;117 days 09:45:46.000000000;;;;;;;;;;;;0 days 00:00:00.000000000;694 days 18:55:14.000000000;;;;;;;;;0 days 09:37:58.000000000;;;;737 days 15:46:37.000000000;;;;;;;1004;1.0;['IN'];0;{'IN': 14};IN
1;0 days 00:00:00.000000000;;24 days 05:01:08.000000000;;7 days 18:12:21.000000000;;21 days 08:11:19.000000000;;;;19 days 14:56:40.000000000;;;;;;;;;;;20 days 05:39:09.000000000;;;;;;;;;;;;;;142 days 20:18:46.000000000;;;;0 days 00:00:00.000000000;;;;22 days 02:55:40.000000000;;;225 days 23:28:14.000000000;;;;;53 days 18:09:46.000000000;;;139 days 12:16:51.000000000;;;;;;;;23 days 22:01:06.000000000;;;;;7 days 11:11:57.000000000;;2 days 18:00:18.000000000;;;;;;;225;1.0;['NL'];1;{'NL': 51};NL
2;;;552 days 20:19:53.000000000;;;;;;;;;;;;;;;;;;;;;;;16 days 21:23:03.000000000;;;;17 days 04:25:06.000000000;;;;;;;;;;;;;;;;;;13 days 02:32:18.000000000;;;;;;;;;10 days 23:04:02.000000000;;;;;;;;;;;;;;;;;;;;552;1.0;['AS'];2;{'AS': 14};AS
3;0 days 00:00:00.000000000;;732 days 04:27:20.000000000;;;;;;;17 days 02:22:06.000000000;;;;;;;;;;;;;;;;32 days 05:20:01.000000000;;;;;;;;;;;;;;;;;;;16 days 05:45:23.000000000;;;;;;;;;;;;23 days 22:04:25.000000000;;;;;;;;;;;;;496 days 11:58:22.000000000;;;;;;;732;1.0;['AS'];3;{'AS': 21};AS
4;;;330 days 19:32:55.000000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0 days 00:00:00.000000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;330;1.0;['AS'];4;{'AS': 14};AS
5;;;2 days 19:48:12.000000000;;;;;;;;;6 days 18:11:41.000000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0 days 00:00:00.000000000;;;;;;;;;;1 days 16:31:26.000000000;;;824 days 02:19:59.000000000;;;;;;;824;1.0;['US'];5;{'US': 44};US
6;;;;123 days 20:33:07.000000000;;;;;0 days 00:00:00.000000000;;;;;;;;;;0 days 00:00:00.000000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9 days 17:04:13.000000000;;18 days 04:12:32.000000000;;;;;;;;;;145 days 12:25:15.000000000;325 days 16:55:33.000000000;;;;;;;325;1.0;['US'];6;{'US': 6};US
7;;;;;;;;1219 days 20:37:31.000000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0 days 00:00:00.000000000;;;;;;;;;;;;;;;513 days 03:46:11.000000000;;;;;;0 days 00:00:00.000000000;;;;;;;6 days 00:30:52.000000000;;;;;;;1219;1.0;['BR'];7;{'BR': 143};BR
8;923 days 23:35:34.000000000;;;;;;;;;4 days 07:11:39.000000000;;;;;;;;1 days 14:02:13.000000000;;;;0 days 00:00:00.000000000;;;;;;23 days 22:56:29.000000000;;11 days 08:30:57.000000000;;25 days 09:35:01.000000000;;;;;;;;;;3 days 09:12:00.000000000;;;;;;;;;;;;;;;5 days 14:19:30.000000000;;;;;;;;;;;;;494 days 05:32:40.000000000;;;7 days 11:37:53.000000000;;;;923;1.0;['AE'];8;{'AE': 26};AE
9;;;;;;;;;;291 days 05:28:23.000000000;;;;;;;;;;;;;;;;;;;;;;23 days 08:42:37.000000000;;;;;1464 days 22:18:57.000000000;;;;;;;27 days 18:30:08.000000000;;;;;;;;;;;;;27 days 05:04:13.000000000;;;;;;1455 days 21:44:46.000000000;;;;;;;;;;1083 days 21:41:39.000000000;;;;1464;1.0;['LA'];9;{'LA': 197};LA
