userid;AE;AS;BR;CA;CB;HK;IN;KU;LA;MY;NI;NZ;QA;SA;SF;TH;TU;UK;US;VM;WA;MAXmonths;N_of_FIPS_withMaxmonth;HomeLocList;userid;homeLocDict;hierarchical_maxmonths
0;;;;;;;6.0;;;;;;;;;;;;;;;6.0;1.0;['IN'];0;{'IN': 14};IN
1;1.0;;;;;;;5.0;;;;;2.0;4.0;;;;;;;;5.0;1.0;['KU'];1;{'KU': 9};KU
2;;10.0;;;;;;;;;;2.0;;;;;;;;;;10.0;1.0;['AS'];2;{'AS': 14};AS
3;;11.0;;;;;;;;;;;;;;;;;;;;11.0;1.0;['AS'];3;{'AS': 21};AS
4;;7.0;;;;;;;;;;1.0;;;;;;;;;;7.0;1.0;['AS'];4;{'AS': 14};AS
5;;;;;;;;;;;;;;;;;;;14.0;;;14.0;1.0;['US'];5;{'US': 44};US
6;;;;;;;;;;;;;;;;;;2.0;;;;2.0;1.0;['UK'];6;{'UK': 2};UK
7;;;33.0;;;;;;;;;;;;;;;;;;;33.0;1.0;['BR'];7;{'BR': 143};BR
8;13.0;;;;;;;;;;;;;;;;;;;;;13.0;1.0;['AE'];8;{'AE': 26};AE
9;;;;;4.0;;;;36.0;2.0;;;;;;35.0;;;;7.0;;36.0;1.0;['LA'];9;{'LA': 197};LA
10;;;;;;;;;;;;;;;;;;30.0;;;;30.0;1.0;['UK'];10;{'UK': 162};UK
11;;;;;;;;;;;31.0;;;;;;;;;;;31.0;1.0;['NI'];11;{'NI': 156};NI
12;;;;;;;;;;;;;;;;;;;22.0;;;22.0;1.0;['US'];12;{'US': 66};US
13;;;;;;;;;;;;;;;19.0;;;;;;;19.0;1.0;['SF'];13;{'SF': 40};SF
14;;;;;;;;;;;;;;;13.0;;;;;;;13.0;1.0;['SF'];14;{'SF': 36};SF
15;;;;;;;;;;;;;;;7.0;;;;;;;7.0;1.0;['SF'];15;{'SF': 15};SF
16;;;;;;;;;;;;;;;6.0;;;;;;;6.0;1.0;['SF'];16;{'SF': 24};SF
17;;;;;;;;;;;;;;;11.0;;;;;;;11.0;1.0;['SF'];17;{'SF': 45};SF
18;;;;;;;;;;;;;;;6.0;;;;;;;6.0;1.0;['SF'];18;{'SF': 20};SF
19;;;;;;;;;;;;;;;9.0;;;;;;;9.0;1.0;['SF'];19;{'SF': 29};SF
20;;;;;;;;;;;;;;;10.0;;;;;;;10.0;1.0;['SF'];20;{'SF': 16};SF
21;;;;;;;;;;;;;;;30.0;;;;;;;30.0;1.0;['SF'];21;{'SF': 297};SF
22;;;;;;;;;;;;;;;10.0;;;;;;;10.0;1.0;['SF'];22;{'SF': 17};SF
23;;;;;;;;;;;;;;;16.0;;;;;;;16.0;1.0;['SF'];23;{'SF': 42};SF
24;;;;;;;;;;;;;;;;;;;35.0;;;35.0;1.0;['US'];24;{'US': 418};US
25;;;;;;;;;;;;;;;11.0;;;;;;1.0;11.0;1.0;['SF'];25;{'SF': 28};SF
26;;;;1.0;;;;;;;;;;;;;;;26.0;;;26.0;1.0;['US'];26;{'US': 64};US
27;;;;;;;;;;;;;;;13.0;;;;;;;13.0;1.0;['SF'];27;{'SF': 46};SF
28;;;;;;;;;;;;;;;;;;;18.0;;;18.0;1.0;['US'];28;{'US': 30};US
29;;;;;;8.0;;;;;;;;;;;;;;;;8.0;1.0;['HK'];29;{'HK': 15};HK
30;;;;;;;;;;;;;;;8.0;;;;;;;8.0;1.0;['SF'];30;{'SF': 24};SF
31;;;;;;;;;;;;;;;;;34.0;;;;;34.0;1.0;['TU'];31;{'TU': 204};TU
32;;;;;;;;;;;;;;;;;;;19.0;;;19.0;1.0;['US'];32;{'US': 28};US
33;;;;;;;;;;;;;;;23.0;;;;;;;23.0;1.0;['SF'];33;{'SF': 50};SF
34;;;;;;;;;;;;;;;26.0;;;;;;;26.0;1.0;['SF'];34;{'SF': 120};SF
