;userid;post_cnt;t_bef_KNP;time_dif;FIPS_1;FIPS_1_photocount;FIPS_2;FIPS_2_photocount;SubReg_2_1;SubReg_2_1_photocnt;RegCode_1;RegCode_1_photocnt;RegCode_2;RegCode_2_photocnt;SubReg_2_2;SubReg_2_2_photocnt;hierarchical_maxposts
0;0;35;;;IN;14;N/A;0;34;14;142;18;150;9;145;2;IN
1;1;129;;;NL;51;BE;3;155;54;150;59;142;50;39;5;NL
2;2;23;;;AS;14;NZ;2;53;16;9;16;150;3;N/A;0;AS
3;3;96;;;US;56;N/A;0;21;56;19;56;9;21;N/A;0;US
4;4;15;;;AS;14;NZ;1;53;15;9;15;N/A;0;N/A;0;AS
5;5;51;;;US;44;N/A;0;21;44;19;44;142;4;N/A;0;US
6;6;16;;;SP;2;N/A;0;39;2;150;7;19;7;1550;2;SP
7;7;150;;;BR;143;N/A;0;5;143;19;145;2;3;21;2;BR
8;8;72;;;AE;26;N/A;0;145;26;142;47;19;18;340;8;AE
9;9;426;;;LA;197;TH;153;35;394;142;412;2;14;300;18;LA
10;10;227;;;UK;162;N/A;0;1500;162;150;211;19;15;39;22;UK
11;11;314;;;NI;156;N/A;0;11;156;2;160;150;131;18;2;NI
12;12;82;;;US;66;N/A;0;21;66;19;66;150;13;N/A;0;US
13;13;45;;;SF;40;N/A;0;18;40;2;40;142;3;N/A;0;SF
14;14;44;;;SF;36;N/A;0;18;36;2;37;142;6;14;1;SF
15;15;29;;;SF;15;N/A;0;18;15;2;17;19;7;14;2;SF
16;16;25;;;SF;24;N/A;0;18;24;2;25;N/A;0;14;1;SF
17;17;45;;;SF;45;N/A;0;18;45;2;45;N/A;0;N/A;0;SF
18;18;20;;;SF;20;N/A;0;18;20;2;20;N/A;0;N/A;0;SF
19;19;29;;;SF;29;N/A;0;18;29;2;29;N/A;0;N/A;0;SF
20;20;18;;;SF;16;N/A;0;18;16;2;16;150;2;N/A;0;SF
21;21;318;;;SF;297;N/A;0;18;297;2;297;142;21;N/A;0;SF
22;22;19;;;SF;17;N/A;0;18;17;2;19;N/A;0;14;2;SF
23;23;42;;;SF;42;N/A;0;18;42;2;42;N/A;0;N/A;0;SF
24;24;418;;;US;418;N/A;0;21;418;19;418;N/A;0;N/A;0;US
25;25;47;;;SF;28;WA;8;18;36;2;36;150;10;N/A;0;SF
26;26;81;;;US;64;CA;1;21;65;19;77;150;3;13;10;US
27;27;93;;;SF;46;N/A;0;18;46;2;51;19;24;14;5;SF
28;28;47;;;US;30;N/A;0;21;30;19;36;2;7;29;5;US
29;29;71;;;HK;15;N/A;0;30;15;142;49;150;22;301;10;HK
30;30;61;;;SF;24;N/A;0;18;24;2;24;142;19;N/A;0;SF
31;31;210;;;TU;204;N/A;0;145;204;142;204;150;5;N/A;0;TU
32;32;38;;;US;28;N/A;0;21;28;19;32;2;4;13;3;US
33;33;62;;;SF;50;N/A;0;18;50;2;50;150;12;N/A;0;SF
34;34;120;;;SF;120;N/A;0;18;120;2;120;N/A;0;N/A;0;SF
