userid;AE;AS;BR;CA;CB;DA;FR;IC;IN;KU;LA;MY;NZ;QA;RS;SA;SF;SW;TH;TU;UK;US;VM;WA;MAXTimeDeltas;N_of_FIPS_withMaxTimeDelta;HomeLocList;userid;homeLocDict;hierarchical_maxtimedelta
0;;;;;;;;;1004 days 15:48:50.000000000;;;;;;;;;;;;;;;;1004;1.0;['IN'];0;{'IN': 14};IN
1;0 days 00:00:00.000000000;;;;;;;;;142 days 20:18:46.000000000;;;;53 days 18:09:46.000000000;;139 days 12:16:51.000000000;;;;;;;;;142;1.0;['KU'];1;{'KU': 9};KU
2;;552 days 20:19:53.000000000;;;;;;;;;;;13 days 02:32:18.000000000;;;;;;;;;;;;552;1.0;['AS'];2;{'AS': 14};AS
3;;732 days 04:27:20.000000000;;;;;;;;;;;;;;;;;;;;;;;732;1.0;['AS'];3;{'AS': 21};AS
4;;330 days 19:32:55.000000000;;;;;;;;;;;0 days 00:00:00.000000000;;;;;;;;;;;;330;1.0;['AS'];4;{'AS': 14};AS
5;;;;;;;;;;;;;;;;;;;;;;824 days 02:19:59.000000000;;;824;1.0;['US'];5;{'US': 44};US
6;;;;;;;;;;;;;;;;;;;;;145 days 12:25:15.000000000;;;;145;1.0;['UK'];6;{'UK': 2};UK
7;;;1219 days 20:37:31.000000000;;;;;;;;;;;;;;;;;;;;;;1219;1.0;['BR'];7;{'BR': 143};BR
8;923 days 23:35:34.000000000;;;;;;;;;;;;;;;;;;;;;;;;923;1.0;['AE'];8;{'AE': 26};AE
9;;;;;291 days 05:28:23.000000000;;;;;;1464 days 22:18:57.000000000;27 days 18:30:08.000000000;;;;;;;1455 days 21:44:46.000000000;;;;1083 days 21:41:39.000000000;;1464;1.0;['LA'];9;{'LA': 197};LA
10;;;;;;;;;;;;;;;;;;;;;970 days 16:49:13.000000000;;;;970;1.0;['UK'];10;{'UK': 162};UK
11;;;;;;;;;;;;;;;1195 days 22:28:09.000000000;;;;;;;;;;1195;1.0;['RS'];11;{'RS': 32};RS
12;;;;;;;1388 days 04:57:26.000000000;;;;;;;;;;;;;;;;;;1388;1.0;['FR'];12;{'FR': 13};FR
13;;;;;;;;;;;;;;;;;1029 days 20:32:03.000000000;;;;;;;;1029;1.0;['SF'];13;{'SF': 40};SF
14;;;;;;;;;;;;;;;;;762 days 05:28:26.000000000;;;;;;;;762;1.0;['SF'];14;{'SF': 36};SF
15;;;;;;;;;;;;;;;;;1180 days 04:18:43.000000000;;;;;;;;1180;1.0;['SF'];15;{'SF': 15};SF
16;;;;;;;;;;;;;;;;;375 days 14:55:04.000000000;;;;;;;;375;1.0;['SF'];16;{'SF': 24};SF
17;;;;;;;;;;;;;;;;;558 days 03:13:48.000000000;;;;;;;;558;1.0;['SF'];17;{'SF': 45};SF
18;;;;;;;;;;;;;;;;;281 days 07:36:39.000000000;;;;;;;;281;1.0;['SF'];18;{'SF': 20};SF
19;;;;;;;;;;;;;;;;;766 days 08:10:54.000000000;;;;;;;;766;1.0;['SF'];19;{'SF': 29};SF
20;;;;;;;;;;;;;;;;;374 days 08:38:25.000000000;;;;;;;;374;1.0;['SF'];20;{'SF': 16};SF
21;;;;;;;;;;;;;;;;;1294 days 01:27:54.000000000;;;;;;;;1294;1.0;['SF'];21;{'SF': 297};SF
22;;;;;;;;;;;;;;;;;678 days 01:36:11.000000000;;;;;;;;678;1.0;['SF'];22;{'SF': 17};SF
23;;;;;;;;;;;;;;;;;931 days 21:07:47.000000000;;;;;;;;931;1.0;['SF'];23;{'SF': 42};SF
24;;;;;;;;;;;;;;;;;;;;;;1151 days 08:34:28.000000000;;;1151;1.0;['US'];24;{'US': 418};US
25;;;;;;;;;;;;;;;;;837 days 16:39:51.000000000;;;;;;;24 days 08:02:40.000000000;837;1.0;['SF'];25;{'SF': 28};SF
26;;;;0 days 00:00:00.000000000;;;;;;;;;;;;;;;;;;1522 days 03:05:32.000000000;;;1522;1.0;['US'];26;{'US': 64};US
27;;;;;;;;;;;;;;;;;;;;;;32 days 23:13:59.000000000;;;32;1.0;['US'];27;{'US': 18};US
28;;;;;;;;;;;;;;;;;;;;;;1504 days 19:39:40.000000000;;;1504;1.0;['US'];28;{'US': 30};US
29;;;;;;45 days 11:05:22.000000000;;20 days 14:33:57.000000000;;;;;;;;;;96 days 02:00:21.000000000;;;;;;;96;1.0;['SW'];29;{'SW': 14};SW
30;;;;;;;;;;;;;;;;;1024 days 00:38:46.000000000;;;;;;;;1024;1.0;['SF'];30;{'SF': 24};SF
31;;;;;;;;;;;;;;;;;;;;1225 days 21:19:17.000000000;;;;;1225;1.0;['TU'];31;{'TU': 204};TU
32;;;;;;;;;;;;;;;;;;;;;;1404 days 13:29:31.000000000;;;1404;1.0;['US'];32;{'US': 28};US
33;;;;;;;;;;;;;;;;;1728 days 11:47:31.000000000;;;;;;;;1728;1.0;['SF'];33;{'SF': 50};SF
34;;;;;;;;;;;;;;;;;848 days 10:50:58.000000000;;;;;;;;848;1.0;['SF'];34;{'SF': 120};SF
